CNumber,country,country_corrected,iso3c
480,Mauritius,Mauritius,MUS
484,Mexico,Mexico,MEX
492,Monaco,Monaco,MCO
500,Montserrat,Montserrat,MSR
504,Morocco,Morocco,MAR
508,Mozambique,Mozambique,MOZ
512,Oman,Oman,OMN
516,Namibia,Namibia,NAM
520,Nauru,Nauru,NRU
528,Netherlands,Netherlands,NLD
532,NethAntilles,NethAntilles,BES
533,Aruba,Aruba,ABW
534,Curacao,Curacao,CUW
540,New Caledonia,New Caledonia,NCL
548,Vanuatu,Vanuatu,VUT
554,New Zealand,New Zealand,NZL
558,Nicaragua,Nicaragua,NIC
566,Nigeria,Nigeria,NGA
570,Niue,Niue,NIU
574,Norfolk I.,Norfolk I.,NFK
578,Norway,Norway,NOR
580,N Marianas,N Marianas,MNP
583,Micronesia,Micronesia,FSM
584,Marshall Is,Marshall Is,MHL
585,Palau,Palau,PLW
586,Pakistan,Pakistan,PAK
591,Panama,Panama,PAN
598,Papua N Guin,Papua N Guin,PNG
604,Peru,Peru,PER
608,Philippines,Philippines,PHL
612,Pitcairn Is,Pitcairn Is,PCN
616,Poland,Poland,POL
620,Portugal,Portugal,PRT
624,GuineaBissau,GuineaBissau,GNB
626,Timor Leste,Timor Leste,TLS
630,Puerto Rico,Puerto Rico,PRI
634,Qatar,Qatar,QAT
638,Reunion,Reunion,REU
642,Romania,Romania,ROU
643,Russian Fed,Russian Fed,RUS
654,St Helena,St Helena,SHN
659,St Kitts Nev,St Kitts Nev,KNA
660,Anguilla,Anguilla,AIA
662,St Lucia,St Lucia,LCA
666,St Pier Mq,St Pier Mq,SPM
670,St Vincent,St Vincent,VCT
678,Sao Tome Prn,Sao Tome Prn,STP
682,Saudi Arabia,Saudi Arabia,SAU
686,Senegal,Senegal,SEN
690,Seychelles,Seychelles,SYC
694,Sierra Leone,Sierra Leone,SLE
702,Singapore,Singapore,SGP
704,Viet Nam,Viet Nam,VNM
705,Slovenia,Slovenia,SVN
706,Somalia,Somalia,SOM
710,South Africa,South Africa,ZAF
724,Spain,Spain,ESP
736,Sudan,Sudan,SDN
740,Suriname,Suriname,SUR
752,Sweden,Sweden,SWE
760,Syria,Syria,SYR
764,Thailand,Thailand,THA
768,Togo,Togo,TGO
772,Tokelau,Tokelau,TKL
776,Tonga,Tonga,TON
780,Trinidad Tob,Trinidad Tob,TTO
784,Untd Arab Em,Untd Arab Em,ARE
788,Tunisia,Tunisia,TUN
792,Turkey,Turkey,TUR
796,Turks Caicos,Turks Caicos,TCA
798,Tuvalu,Tuvalu,TUV
804,Ukraine,Ukraine,UKR
810,Former USSR,Former USSR,RUS
818,Egypt,Egypt,EGY
826,UK,UK,GBR
830,Channel Is,Channel Is,NA
833,Isle of Man,Isle of Man,IMN
834,Tanzania,Tanzania,TZA
840,USA,USA,USA
850,US Virgin Is,US Virgin Is,VIR
858,Uruguay,Uruguay,URY
862,Venezuela,Venezuela,VEN
876,Wallis Fut I,Wallis Fut I,WLF
882,Samoa,Samoa,WSM
887,Yemen,Yemen,YEM
890,Yugoslavia,Yugoslavia,NA
891,Serbia,Serbia,SRB
892,Montenegro,Montenegro,MNE
999,Other nei,Other nei,NA
