TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Sardina pilchardus,European pilchard,Purse seine Non-tuna,low,non-destructive,601350,Small pelagics (<30 cm),pelagic
Turbo cornutus,Horned turban,Dredge,high,destructive,690180,Other demersal invertebrates,demersal
Oblada melanura,Saddled seabream,Trawl,high,destructive,600850,Small benthopelagics (<30 cm),demersal
Scombroids,Tunas bonitos billfishes,Trawl midwater,high,non-destructive,NA,NA,pelagic
Pyura chilensis,Red sea squirt,Other,low,non-destructive,690322,Other demersal invertebrates,demersal
Lepidopus caudatus,Silver scabbardfish,Trawl,high,destructive,600645,Large bathydemersals (>=90 cm),demersal
Scombroids,Tunas bonitos billfishes,Gillnet,high,non-destructive,NA,NA,pelagic
Pegusa lascaris,Sand sole,Trawl,high,destructive,601336,Small to medium flatfishes (<90 cm),demersal
Harengula,Herring,Seine,high,non-destructive,501941,Small pelagics (<30 cm),pelagic
Atherinidae,Silversides,Trawl midwater,high,non-destructive,400218,Small pelagics (<30 cm),pelagic
Engraulis encrasicolus,European anchovy,Trawl midwater,high,non-destructive,600066,Small pelagics (<30 cm),pelagic
Scomberomorus cavalla,King mackerel,Lines Non-tuna,low,non-destructive,600120,Large reef assoc. fish (>=90 cm),pelagic
Polynemidae,Threadfins,Trawl,high,destructive,400361,Small demersals (<30 cm),demersal
Euthynnus affinis,Kawakawa,Lines Non-tuna,low,non-destructive,600096,Large pelagics (>=90 cm),pelagic
Centropomus undecimalis,Common snook,Gillnet,high,non-destructive,600345,Large demersals (>=90 cm),demersal
Anguilliformes,Eels and morays,Trawl midwater,high,non-destructive,300026,Large demersals (>=90 cm),demersal
Thunnus maccoyii,Southern bluefin tuna,Gillnet,high,non-destructive,600145,Large pelagics (>=90 cm),pelagic
Mya arenaria,Sand gaper,Dredge,high,destructive,690337,Other demersal invertebrates,demersal
Solenidae,Razor clams knife clams,Other,low,non-destructive,490061,Other demersal invertebrates,demersal
Muraenesox cinereus,Daggertooth pike conger,Trawl,high,destructive,600298,Large demersals (>=90 cm),demersal
Coregonus albula,Vendace,Seine,high,non-destructive,600231,Medium pelagics (30 - 89 cm),pelagic
Scomberomorus tritor,West African Spanish mackerel,Seine,high,non-destructive,600141,Medium pelagics (30 - 89 cm),pelagic
Pteroscion peli,Boe drum,Trawl midwater,high,non-destructive,600423,Medium benthopelagics (30 - 89 cm),pelagic
Marine fishes not identified,Pelagic fishes,Gillnet,high,non-destructive,100039,Medium demersals (30 - 89 cm),demersal
Katsuwonus pelamis,Skipjack tuna,Purse seine Tuna,low,non-destructive,600107,Large pelagics (>=90 cm),pelagic
Xiphopenaeus kroyeri,Atlantic seabob,Trawl,high,destructive,690032,Shrimps,demersal
Metapenaeus,Metapenaeus shrimps,Trawl,high,destructive,590091,Shrimps,demersal
Sardinella,Sardinella,Purse seine Non-tuna,low,non-destructive,501940,Small pelagics (<30 cm),pelagic
Phycis blennoides,Greater forkbeard,Trawl,high,destructive,601340,Large benthopelagics (>=90 cm),demersal
Scomber,Mackerels,Lines Non-tuna,low,non-destructive,500142,Medium pelagics (30 - 89 cm),pelagic
Sargocentron spiniferum,Sabre squirrelfish,Trap,high,non-destructive,606507,Medium reef assoc. fish (30 - 89 cm),demersal
Triakidae,Houndsharks,Trawl,high,destructive,400488,Large sharks (>=90 cm),demersal
Dentex angolensis,Angola dentex,Trawl,high,destructive,600440,Small demersals (<30 cm),demersal
Muraenesox,Conger eels,Lines Non-tuna,low,non-destructive,501826,Large demersals (>=90 cm),demersal
Pterogymnus laniarius,Panga seabream,Trawl midwater,high,non-destructive,600448,Medium benthopelagics (30 - 89 cm),pelagic
Scomberomorus guttatus,Indo-Pacific king mackerel,Purse seine Non-tuna,low,non-destructive,600123,Medium pelagics (30 - 89 cm),pelagic
Rajidae,Skates,Trawl,high,destructive,400019,Large rays (>=90 cm),demersal
Pagrus,Seabreams (Pagrus spp),Trawl,high,destructive,500903,Medium benthopelagics (30 - 89 cm),demersal
Coryphaena,Coryphaena,LonglineTuna,high,non-destructive,500116,Large pelagics (>=90 cm),pelagic
Cancer pagurus,Edible crab,Trap,high,non-destructive,690119,"Lobsters, crabs",demersal
