Zone,Country,ISO3,Year,Population,PCDEA,MDI,PIMII,Fortification
Other,Belarus,BLR,2011,9450000,3247,0.97,3.77,0
Other,Belarus,BLR,2011,9450000,3247,0.97,3.77,1
Latin America,Belize,BLZ,2011,316000,2742,0.93,8.33,1
Latin America,Belize,BLZ,2011,316000,2742,0.92,10.1,0
Latin America,Bolivia,BOL,2011,10324000,2251,0.89,23.87,0
Latin America,Bolivia,BOL,2011,10324000,2251,0.95,12.07,1
Latin America,Brazil,BRA,2011,196935000,3283,0.93,5.63,0
Latin America,Brazil,BRA,2011,196935000,3283,0.94,4.81,1
Latin America,Barbados,BRB,2011,282000,2998,0.96,5.13,0
Latin America,Barbados,BRB,2011,282000,2998,0.96,4.95,1
Southeast Asia,Brunei,BRN,2011,407000,2916,0.9,14.32,1
Southeast Asia,Brunei,BRN,2011,407000,2916,0.9,14.32,0
Subsaharan Africa,Botswana,BWA,2011,1987000,2263,0.88,29.47,0
Subsaharan Africa,Botswana,BWA,2011,1987000,2263,0.88,29.47,1
Subsaharan Africa,Central African Republic,CAF,2011,4436000,2149,0.88,27.02,1
Subsaharan Africa,Central African Republic,CAF,2011,4436000,2149,0.88,27.02,0
High Income NES,Canada,CAN,2011,34487000,3402,0.97,2.21,1
High Income NES,Canada,CAN,2011,34487000,3402,0.96,2.71,0
High Income NES,Switzerland,CHE,2011,7915000,3485,0.96,4.35,1
High Income NES,Switzerland,CHE,2011,7915000,3485,0.96,4.35,0
Latin America,Chile,CHL,2011,17308000,2992,0.92,10.7,0
Latin America,Chile,CHL,2011,17308000,2992,0.93,7.9,1
East Asia,China,CHN,2011,1399292000,3079,0.97,5.11,0
East Asia,China,CHN,2011,1399292000,3079,0.97,5.11,1
Subsaharan Africa,C’‚te d'Ivoire,CIV,2011,19390000,2780,0.93,10.91,1
Subsaharan Africa,C’‚te d'Ivoire,CIV,2011,19390000,2780,0.83,21.48,0
Subsaharan Africa,Cameroon,CMR,2011,21156000,2580,0.87,17.24,0
Subsaharan Africa,Cameroon,CMR,2011,21156000,2580,0.92,10.86,1
Subsaharan Africa,Republic of Congo,COG,2011,4225000,2175,0.9,23.38,1
Subsaharan Africa,Republic of Congo,COG,2011,4225000,2175,0.9,24.18,0
Latin America,Colombia,COL,2011,47079000,2694,0.93,8.81,1
Latin America,Colombia,COL,2011,47079000,2694,0.89,17.2,0
Subsaharan Africa,Cape Verde,CPV,2011,491000,2706,0.97,4.4,1
Subsaharan Africa,Cape Verde,CPV,2011,491000,2706,0.95,7.42,0
Latin America,Costa Rica,CRI,2011,4738000,2903,0.92,10.37,0
Latin America,Costa Rica,CRI,2011,4738000,2903,1,1.15,1
Latin America,Cuba,CUB,2011,11276000,3276,0.95,4.17,1
Latin America,Cuba,CUB,2011,11276000,3276,0.93,5.82,0
WCANA,Cyprus,CYP,2011,1117000,2633,0.98,6.77,1
WCANA,Cyprus,CYP,2011,1117000,2633,0.98,6.77,0
High Income NES,Czech Republic,CZE,2011,10611000,3288,0.94,5.65,1
High Income NES,Czech Republic,CZE,2011,10611000,3288,0.94,5.65,0
High Income NES,Germany,DEU,2011,82893000,3528,0.93,4.48,1
High Income NES,Germany,DEU,2011,82893000,3528,0.93,4.48,0
Subsaharan Africa,Djibouti,DJI,2011,847000,2514,0.92,14.18,1
Subsaharan Africa,Djibouti,DJI,2011,847000,2514,0.86,24.24,0
High Income NES,Denmark,DNK,2011,5575000,3358,0.98,1.94,1
High Income NES,Denmark,DNK,2011,5575000,3358,0.98,1.95,0
Latin America,Dominican Republic,DOM,2011,10148000,2563,0.92,12.57,1
Latin America,Dominican Republic,DOM,2011,10148000,2563,0.91,18.03,0
WCANA,Algeria,DZA,2011,37763000,3212,0.9,9.05,1
WCANA,Algeria,DZA,2011,37763000,3212,0.9,9.05,0
Latin America,Ecuador,ECU,2011,15246000,2473,0.98,6.16,1
Latin America,Ecuador,ECU,2011,15246000,2473,0.95,15.29,0
WCANA,Egypt,EGY,2011,79392000,3551,0.88,9.11,1
WCANA,Egypt,EGY,2011,79392000,3551,0.85,11.18,0
High Income NES,Spain,ESP,2011,46514000,3182,0.96,4.65,1
High Income NES,Spain,ESP,2011,46514000,3182,0.96,4.65,0
High Income NES,Estonia,EST,2011,1294000,3204,0.98,1.4,1
High Income NES,Estonia,EST,2011,1294000,3204,0.98,1.4,0
Subsaharan Africa,Ethiopia,ETH,2011,89393000,2102,0.81,32.85,0
Subsaharan Africa,Ethiopia,ETH,2011,89393000,2102,0.81,32.85,1
High Income NES,Finland,FIN,2011,5389000,3264,0.98,2.56,1
High Income NES,Finland,FIN,2011,5389000,3264,0.98,2.56,0
Southeast Asia,Fiji,FJI,2011,868000,2924,0.9,12.39,0
Southeast Asia,Fiji,FJI,2011,868000,2924,0.93,9.14,1
High Income NES,France,FRA,2011,63582000,3518,0.95,3.19,1
High Income NES,France,FRA,2011,63582000,3518,0.95,3.19,0
Subsaharan Africa,Gabon,GAB,2011,1594000,2768,0.9,12.01,0
Subsaharan Africa,Gabon,GAB,2011,1594000,2768,0.9,12.01,1
High Income NES,United Kingdom,GBR,2011,62672000,3393,0.96,3.16,1
High Income NES,United Kingdom,GBR,2011,62672000,3393,0.96,3.23,0
WCANA,Georgia,GEO,2011,4374000,2718,0.86,23.39,1
WCANA,Georgia,GEO,2011,4374000,2718,0.86,23.39,0
Subsaharan Africa,Ghana,GHA,2011,24821000,2998,0.94,7.19,1
Subsaharan Africa,Ghana,GHA,2011,24821000,2998,0.86,13.74,0
Subsaharan Africa,Guinea,GIN,2011,11162000,2550,0.8,26.97,0
Subsaharan Africa,Guinea,GIN,2011,11162000,2550,0.86,17.9,1
Subsaharan Africa,Gambia,GMB,2011,1735000,2845,0.83,20.23,1
Subsaharan Africa,Gambia,GMB,2011,1735000,2845,0.75,31.44,0
Subsaharan Africa,Guinea-Bissau,GNB,2011,1624000,2305,0.74,42.51,1
Subsaharan Africa,Guinea-Bissau,GNB,2011,1624000,2305,0.71,46.7,0
High Income NES,Greece,GRC,2011,11119000,3427,0.98,1.14,1
High Income NES,Greece,GRC,2011,11119000,3427,0.98,1.14,0
Latin America,Grenada,GRD,2011,105000,2451,0.98,7.27,1
Latin America,Grenada,GRD,2011,105000,2451,0.98,8.37,0
Latin America,Guatemala,GTM,2011,14707000,2483,0.91,12.99,1
Latin America,Guatemala,GTM,2011,14707000,2483,0.83,25.47,0
Latin America,Guyana,GUY,2011,791000,2635,0.96,7.43,0
Latin America,Guyana,GUY,2011,791000,2635,0.96,6.37,1
Latin America,Honduras,HND,2011,7777000,2639,0.84,25.47,0
Latin America,Honduras,HND,2011,7777000,2639,0.93,11.1,1
High Income NES,Croatia,HRV,2011,4324000,3050,0.94,6.73,1
High Income NES,Croatia,HRV,2011,4324000,3050,0.94,6.73,0
Latin America,Haiti,HTI,2011,10033000,2095,0.87,32.5,0
Latin America,Haiti,HTI,2011,10033000,2095,0.9,23.5,1
High Income NES,Hungary,HUN,2011,9996000,2965,0.95,8.48,0
High Income NES,Hungary,HUN,2011,9996000,2965,0.95,8.48,1
Southeast Asia,Indonesia,IDN,2011,243802000,2709,0.75,39.46,0
Southeast Asia,Indonesia,IDN,2011,243802000,2709,0.88,20.72,1
South Asia,India,IND,2011,1221156000,2446,0.84,28.05,1
South Asia,India,IND,2011,1221156000,2446,0.84,28.09,0
High Income NES,Ireland,IRL,2011,4523000,3584,0.96,1.31,0
High Income NES,Ireland,IRL,2011,4523000,3584,0.96,1.31,1
WCANA,Iran,IRN,2011,75424000,3055,0.9,9.66,0
WCANA,Iran,IRN,2011,75424000,3055,0.9,9.09,1
WCANA,Iraq,IRQ,2011,31837000,2489,0.78,31.65,0
WCANA,Iraq,IRQ,2011,31837000,2489,0.82,25.6,1
High Income NES,Iceland,ISL,2011,322000,3305,0.98,3.04,1
High Income NES,Iceland,ISL,2011,322000,3305,0.98,3.04,0
WCANA,Israel,ISR,2011,7542000,3615,0.96,0.99,1
WCANA,Israel,ISR,2011,7542000,3615,0.96,0.99,0
High Income NES,Italy,ITA,2011,60729000,3536,0.95,2.48,0
High Income NES,Italy,ITA,2011,60729000,3536,0.95,2.48,1
Latin America,Jamaica,JAM,2011,2755000,2765,0.96,5.48,1
Latin America,Jamaica,JAM,2011,2755000,2765,0.96,5.88,0
WCANA,Jordan,JOR,2011,6731000,3144,0.97,2.44,1
WCANA,Jordan,JOR,2011,6731000,3144,0.87,11.72,0
East Asia,Japan,JPN,2011,127319000,2711,0.93,15.35,0
East Asia,Japan,JPN,2011,127319000,2711,0.93,15.35,1
WCANA,Kazakhstan,KAZ,2011,16098000,3104,0.99,1.68,0
WCANA,Kazakhstan,KAZ,2011,16098000,3104,1,0.66,1
Subsaharan Africa,Kenya,KEN,2011,42028000,2173,0.89,22.9,0
Subsaharan Africa,Kenya,KEN,2011,42028000,2173,0.98,7.9,1
WCANA,Kyrgyzstan,KGZ,2011,5403000,2825,0.96,4.12,0
WCANA,Kyrgyzstan,KGZ,2011,5403000,2825,0.99,1.97,1
Southeast Asia,Cambodia,KHM,2011,14606000,2405,0.76,43.6,1
Southeast Asia,Cambodia,KHM,2011,14606000,2405,0.76,43.6,0
Other,Kiribati,KIR,2011,99000,3013,0.82,20.21,0
Other,Kiribati,KIR,2011,99000,3013,0.82,20.21,1
East Asia,South Korea,KOR,2011,48733000,3331,0.93,6.74,1
East Asia,South Korea,KOR,2011,48733000,3331,0.93,6.74,0
WCANA,Kuwait,KWT,2011,3125000,3459,0.94,2.96,1
WCANA,Kuwait,KWT,2011,3125000,3459,0.93,3.7,0
Southeast Asia,Laos,LAO,2011,6521000,2355,0.83,29.23,0
Southeast Asia,Laos,LAO,2011,6521000,2355,0.83,29.23,1
WCANA,Lebanon,LBN,2011,4478000,3176,0.94,5.17,0
WCANA,Lebanon,LBN,2011,4478000,3176,0.94,5.17,1
Subsaharan Africa,Liberia,LBR,2011,4080000,2250,0.66,57.3,1
Subsaharan Africa,Liberia,LBR,2011,4080000,2250,0.66,57.3,0
Latin America,Saint Lucia,LCA,2011,179000,2611,0.95,11.31,0
Latin America,Saint Lucia,LCA,2011,179000,2611,0.95,10.63,1
South Asia,Sri Lanka,LKA,2011,20926000,2489,0.81,36.18,0
South Asia,Sri Lanka,LKA,2011,20926000,2489,0.81,36.18,1
Subsaharan Africa,Lesotho,LSO,2011,2030000,2593,0.71,40.86,1
Subsaharan Africa,Lesotho,LSO,2011,2030000,2593,0.71,40.86,0
High Income NES,Lithuania,LTU,2011,3044000,3453,0.97,1.48,1
High Income NES,Lithuania,LTU,2011,3044000,3453,0.97,1.48,0
High Income NES,Luxembourg,LUX,2011,516000,3567,0.98,1.41,0
High Income NES,Luxembourg,LUX,2011,516000,3567,0.98,1.41,1
High Income NES,Latvia,LVA,2011,2073000,3286,0.97,2.66,1
High Income NES,Latvia,LVA,2011,2073000,3286,0.97,2.66,0
WCANA,Morocco,MAR,2011,32059000,3329,0.86,12.78,0
WCANA,Morocco,MAR,2011,32059000,3329,0.88,11.16,1
Other,Moldova,MDA,2011,3543000,2828,0.96,6.78,1
Other,Moldova,MDA,2011,3543000,2828,0.9,16.87,0
Subsaharan Africa,Madagascar,MDG,2011,21679000,2083,0.77,47.05,0
Subsaharan Africa,Madagascar,MDG,2011,21679000,2083,0.77,47.05,1
South Asia,Maldives,MDV,2011,332000,2706,0.95,8.12,1
South Asia,Maldives,MDV,2011,332000,2706,0.95,8.12,0
Latin America,Mexico,MEX,2011,119361000,3026,0.96,5.83,1
Latin America,Mexico,MEX,2011,119361000,3026,0.87,14.35,0
Other,Macedonia,MKD,2011,2104000,2917,0.98,5.01,1
Other,Macedonia,MKD,2011,2104000,2917,0.98,5.01,0
Subsaharan Africa,Mali,MLI,2011,14417000,2829,0.95,4.88,1
Subsaharan Africa,Mali,MLI,2011,14417000,2829,0.87,13.74,0
Other,Malta,MLT,2011,426000,3388,0.98,1.43,0
Other,Malta,MLT,2011,426000,3388,0.98,1.43,1
Southeast Asia,Myanmar,MMR,2011,52351000,2531,0.92,17.82,1
Southeast Asia,Myanmar,MMR,2011,52351000,2531,0.92,17.82,0
East Asia,Mongolia,MNG,2011,2754000,2447,0.96,10.06,1
East Asia,Mongolia,MNG,2011,2754000,2447,0.94,13.66,0
Subsaharan Africa,Mozambique,MOZ,2011,24581000,2256,0.75,39.37,0
Subsaharan Africa,Mozambique,MOZ,2011,24581000,2256,0.75,39.37,1
Subsaharan Africa,Mauritania,MRT,2011,3703000,2782,0.92,10.94,1
Subsaharan Africa,Mauritania,MRT,2011,3703000,2782,0.85,18.53,0
Subsaharan Africa,Mauritius,MUS,2011,1235000,3049,0.9,11.35,0
Subsaharan Africa,Mauritius,MUS,2011,1235000,3049,0.9,11.35,1
Subsaharan Africa,Malawi,MWI,2011,15458000,2333,0.96,7.72,1
Subsaharan Africa,Malawi,MWI,2011,15458000,2333,0.75,35.4,0
Southeast Asia,Malaysia,MYS,2011,28759000,2854,0.89,16,1
Southeast Asia,Malaysia,MYS,2011,28759000,2854,0.89,16.18,0
Subsaharan Africa,Namibia,NAM,2011,2218000,2084,0.89,28.09,0
Subsaharan Africa,Namibia,NAM,2011,2218000,2084,0.89,28.09,1
High Income NES,New Caledonia,NCL,2011,250000,2800,0.97,6.88,1
High Income NES,New Caledonia,NCL,2011,250000,2800,0.97,6.88,0
Subsaharan Africa,Niger,NER,2011,16511000,2545,0.87,16.19,0
Subsaharan Africa,Niger,NER,2011,16511000,2545,0.92,12.29,1
Subsaharan Africa,Nigeria,NGA,2011,164193000,2702,0.91,10.77,1
Subsaharan Africa,Nigeria,NGA,2011,164193000,2702,0.8,25.02,0
Latin America,Nicaragua,NIC,2011,5905000,2552,0.79,35.53,0
Latin America,Nicaragua,NIC,2011,5905000,2552,0.89,18.87,1
High Income NES,Netherlands,NLD,2011,16666000,3143,0.98,2.73,1
High Income NES,Netherlands,NLD,2011,16666000,3143,0.98,2.73,0
High Income NES,Norway,NOR,2011,4944000,3395,0.95,3.03,0
High Income NES,Norway,NOR,2011,4944000,3395,0.95,3.03,1
South Asia,Nepal,NPL,2011,27156000,2610,0.91,11.61,1
South Asia,Nepal,NPL,2011,27156000,2610,0.84,21.04,0
High Income NES,New Zealand,NZL,2011,4414000,3164,0.98,3.84,1
High Income NES,New Zealand,NZL,2011,4414000,3164,0.96,5.36,0
WCANA,Oman,OMN,2011,3025000,3077,0.95,4.52,0
WCANA,Oman,OMN,2011,3025000,3077,0.95,4.52,1
South Asia,Pakistan,PAK,2011,176166000,2425,0.89,21.79,1
South Asia,Pakistan,PAK,2011,176166000,2425,0.87,24.47,0
Latin America,Panama,PAN,2011,3740000,2633,0.89,19.35,0
Latin America,Panama,PAN,2011,3740000,2633,0.95,8.03,1
Latin America,Peru,PER,2011,29615000,2633,0.95,8.89,0
Latin America,Peru,PER,2011,29615000,2633,0.96,6.49,1
Southeast Asia,Philippines,PHL,2011,95053000,2567,0.88,19.77,1
Southeast Asia,Philippines,PHL,2011,95053000,2567,0.84,24.93,0
High Income NES,Poland,POL,2011,38205000,3481,0.94,4.01,0
High Income NES,Poland,POL,2011,38205000,3481,0.94,4.01,1
East Asia,North Korea,PRK,2011,24631000,2100,0.83,38.17,1
East Asia,North Korea,PRK,2011,24631000,2100,0.83,38.17,0
High Income NES,Portugal,PRT,2011,10598000,3448,0.95,3.66,0
High Income NES,Portugal,PRT,2011,10598000,3448,0.95,3.66,1
Latin America,Paraguay,PRY,2011,6573000,2611,0.94,7.95,1
Latin America,Paraguay,PRY,2011,6573000,2611,0.92,12.58,0
Other,French Polynesia,PYF,2011,271000,2854,0.95,10.73,1
Other,French Polynesia,PYF,2011,271000,2854,0.95,10.73,0
Other,Romania,ROU,2011,21809000,3358,0.96,2.97,0
Other,Romania,ROU,2011,21809000,3358,0.96,2.97,1
High Income NES,Russia,RUS,2011,143438000,3359,0.94,3.8,1
High Income NES,Russia,RUS,2011,143438000,3359,0.94,3.8,0
Subsaharan Africa,Rwanda,RWA,2011,11144000,2145,0.88,19.17,0
Subsaharan Africa,Rwanda,RWA,2011,11144000,2145,0.96,10.9,1
WCANA,Saudi Arabia,SAU,2011,27762000,3100,0.91,8.05,1
WCANA,Saudi Arabia,SAU,2011,27762000,3100,0.89,10.36,0
WCANA,Sudan,SDN,2011,43552000,2337,0.97,5.2,1
WCANA,Sudan,SDN,2011,43552000,2337,0.95,9.91,0
Subsaharan Africa,Senegal,SEN,2011,13331000,2421,0.77,37.65,0
Subsaharan Africa,Senegal,SEN,2011,13331000,2421,0.9,17.74,1
Southeast Asia,Solomon Islands,SLB,2011,538000,2463,0.89,17.92,1
Southeast Asia,Solomon Islands,SLB,2011,538000,2463,0.88,19.75,0
Subsaharan Africa,Sierra Leone,SLE,2011,5865000,2330,0.83,29.94,0
Subsaharan Africa,Sierra Leone,SLE,2011,5865000,2330,0.83,29.94,1
Latin America,El Salvador,SLV,2011,6256000,2504,0.88,23.61,0
Latin America,El Salvador,SLV,2011,6256000,2504,0.95,11.09,1
Other,Serbia,SRB,2011,9597000,2717,0.99,4.6,0
Other,Serbia,SRB,2011,9597000,2717,0.99,4.6,1
Subsaharan Africa,Sao Tome and Principe,STP,2011,183000,2670,0.84,21.69,1
Subsaharan Africa,Sao Tome and Principe,STP,2011,183000,2670,0.84,21.69,0
Latin America,Suriname,SUR,2011,530000,2711,0.85,23.34,0
Latin America,Suriname,SUR,2011,530000,2711,0.87,19.8,1
High Income NES,Slovakia,SVK,2011,5440000,2893,0.94,10.57,1
High Income NES,Slovakia,SVK,2011,5440000,2893,0.94,10.57,0
High Income NES,Slovenia,SVN,2011,2062000,3158,0.95,5.86,1
High Income NES,Slovenia,SVN,2011,2062000,3158,0.95,5.86,0
High Income NES,Sweden,SWE,2011,9449000,3142,0.98,3.55,0
High Income NES,Sweden,SWE,2011,9449000,3142,0.98,3.5,1
Subsaharan Africa,Swaziland,SWZ,2011,1212000,2266,0.8,38.98,1
Subsaharan Africa,Swaziland,SWZ,2011,1212000,2266,0.8,38.98,0
Subsaharan Africa,Chad,TCD,2011,12080000,2059,0.8,34.73,0
Subsaharan Africa,Chad,TCD,2011,12080000,2059,0.8,34.73,1
Subsaharan Africa,Togo,TGO,2011,6472000,2361,0.89,20.4,1
Subsaharan Africa,Togo,TGO,2011,6472000,2361,0.75,38.72,0
Southeast Asia,Thailand,THA,2011,66576000,2756,0.86,23.97,1
Southeast Asia,Thailand,THA,2011,66576000,2756,0.84,26.01,0
WCANA,Tajikistan,TJK,2011,7815000,2100,0.89,27.13,1
WCANA,Tajikistan,TJK,2011,7815000,2100,0.89,27.13,0
WCANA,Turkmenistan,TKM,2011,5107000,2884,0.94,7.63,1
WCANA,Turkmenistan,TKM,2011,5107000,2884,0.93,9.05,0
Southeast Asia,Timor-Leste,TLS,2011,1096000,2073,0.77,43.74,0
Southeast Asia,Timor-Leste,TLS,2011,1096000,2073,0.77,43.74,1
Latin America,Trinidad and Tobago,TTO,2011,1333000,2889,0.93,8.61,0
Latin America,Trinidad and Tobago,TTO,2011,1333000,2889,0.94,8.23,1
WCANA,Tunisia,TUN,2011,10753000,3358,0.9,7.71,0
WCANA,Tunisia,TUN,2011,10753000,3358,0.9,7.71,1
WCANA,Turkey,TUR,2011,73059000,3681,0.91,5.26,1
WCANA,Turkey,TUR,2011,73059000,3681,0.91,5.26,0
Subsaharan Africa,Tanzania,TZA,2011,46355000,2198,0.81,30.57,0
Subsaharan Africa,Tanzania,TZA,2011,46355000,2198,0.91,18.47,1
Subsaharan Africa,Uganda,UGA,2011,35148000,2275,0.98,5.14,1
Subsaharan Africa,Uganda,UGA,2011,35148000,2275,0.88,18.41,0
Other,Ukraine,UKR,2011,45803000,3142,0.95,4.58,1
Other,Ukraine,UKR,2011,45803000,3142,0.95,4.58,0
Latin America,Uruguay,URY,2011,3383000,2936,0.96,6.39,0
Latin America,Uruguay,URY,2011,3383000,2936,0.98,3.14,1
High Income NES,United States,USA,2011,314912000,3638,0.94,3.33,0
High Income NES,United States,USA,2011,314912000,3638,0.97,1.26,1
WCANA,Uzbekistan,UZB,2011,28152000,2670,0.99,3.02,1
WCANA,Uzbekistan,UZB,2011,28152000,2670,0.98,4.93,0
Latin America,Saint Vincent and the Grenadines,VCT,2011,109000,2921,0.96,5.27,1
Latin America,Saint Vincent and the Grenadines,VCT,2011,109000,2921,0.96,5.47,0
Latin America,Venezuela,VEN,2011,29501000,2873,0.94,9.22,1
Latin America,Venezuela,VEN,2011,29501000,2873,0.87,16.12,0
Southeast Asia,Vietnam,VNM,2011,89914000,2716,0.91,15.05,1
Southeast Asia,Vietnam,VNM,2011,89914000,2716,0.87,20.45,0
Southeast Asia,Vanuatu,VUT,2011,242000,2813,0.89,13.36,0
Southeast Asia,Vanuatu,VUT,2011,242000,2813,0.89,13.36,1
Other,Samoa,WSM,2011,187000,2861,0.88,15.98,0
Other,Samoa,WSM,2011,187000,2861,0.88,15.98,1
WCANA,Yemen,YEM,2011,23304000,2199,0.82,31.4,1
WCANA,Yemen,YEM,2011,23304000,2199,0.78,40.68,0
Subsaharan Africa,South Africa,ZAF,2011,51949000,2999,0.95,7.92,1
Subsaharan Africa,South Africa,ZAF,2011,51949000,2999,0.81,23.19,0
Subsaharan Africa,Zambia,ZMB,2011,13634000,1906,0.96,10.27,1
Subsaharan Africa,Zambia,ZMB,2011,13634000,1906,0.75,49.87,0
Subsaharan Africa,Zimbabwe,ZWE,2011,13359000,2196,0.71,51.97,1
Subsaharan Africa,Zimbabwe,ZWE,2011,13359000,2196,0.71,51.97,0
