rgn_abbr,region,filename,iso3c
WE,WESTERN EUROPE,Faroe-Islands,FRO
OCE,OCEANIA,Fiji,FJI
WE,WESTERN EUROPE,Finland,FIN
WE,WESTERN EUROPE,France,FRA
LAC,LATIN AMERICA AND THE CARIBBEAN,French-Guiana,GUF
OCE,OCEANIA,French-Polynesia,PYF
SSA,SUB-SAHARAN AFRICA,Gabon,GAB
SSA,SUB-SAHARAN AFRICA,Gambia,GMB
NENA,NEAR EAST AND NORTH AFRICA,Gaza-Strip,PSE
NENA,NEAR EAST AND NORTH AFRICA,Georgia,GEO
WE,WESTERN EUROPE,Germany,DEU
SSA,SUB-SAHARAN AFRICA,Ghana,GHA
WE,WESTERN EUROPE,Greece,GRC
NA,NORTH AMERICA,Greenland,GRL
LAC,LATIN AMERICA AND THE CARIBBEAN,Grenada,GRD
LAC,LATIN AMERICA AND THE CARIBBEAN,Guadeloupe,GLP
OCE,OCEANIA,Guam,GUM
LAC,LATIN AMERICA AND THE CARIBBEAN,Guatemala,GTM
WE,WESTERN EUROPE,Guernsey,GGY
SSA,SUB-SAHARAN AFRICA,Guinea,GIN
SSA,SUB-SAHARAN AFRICA,Guinea-Bissau,GNB
LAC,LATIN AMERICA AND THE CARIBBEAN,Guyana,GUY
LAC,LATIN AMERICA AND THE CARIBBEAN,Haiti,HTI
LAC,LATIN AMERICA AND THE CARIBBEAN,Honduras,HND
ESEA,EAST ASIA AND SOUTHEAST ASIA,Hong-Kong,HKG
EE,EASTERN EUROPE,Hungary,HUN
WE,WESTERN EUROPE,Iceland,ISL
SA,SOUTH ASIA,India,IND
ESEA,EAST ASIA AND SOUTHEAST ASIA,Indonesia,IDN
SA,SOUTH ASIA,Iran,IRN
NENA,NEAR EAST AND NORTH AFRICA,Iraq,IRQ
WE,WESTERN EUROPE,Ireland,IRL
WE,WESTERN EUROPE,Isle-of-Man,IMN
NENA,NEAR EAST AND NORTH AFRICA,Israel,ISR
WE,WESTERN EUROPE,Italy,ITA
LAC,LATIN AMERICA AND THE CARIBBEAN,Jamaica,JAM
ESEA,EAST ASIA AND SOUTHEAST ASIA,Japan,JPN
WE,WESTERN EUROPE,Jersey,JEY
NENA,NEAR EAST AND NORTH AFRICA,Jordan,JOR
NENA,NEAR EAST AND NORTH AFRICA,Kazakhstan,KAZ
SSA,SUB-SAHARAN AFRICA,Kenya,KEN
OCE,OCEANIA,Kiribati,KIR
NENA,NEAR EAST AND NORTH AFRICA,Kuwait,KWT
NENA,NEAR EAST AND NORTH AFRICA,Kyrgyzstan,KGZ
ESEA,EAST ASIA AND SOUTHEAST ASIA,Lao-Peoples-Democratic-Republic,LAO
WE,WESTERN EUROPE,Latvia,LVA
NENA,NEAR EAST AND NORTH AFRICA,Lebanon,LBN
SSA,SUB-SAHARAN AFRICA,Lesotho,LSO
SSA,SUB-SAHARAN AFRICA,Liberia,LBR
WE,WESTERN EUROPE,Liechtenstein,LIE
WE,WESTERN EUROPE,Lithuania,LTU
WE,WESTERN EUROPE,Luxembourg,LUX
ESEA,EAST ASIA AND SOUTHEAST ASIA,Macau,MAC
SSA,SUB-SAHARAN AFRICA,Madagascar,MDG
WE,WESTERN EUROPE,Madeira-Islands,MadeiraIs
SSA,SUB-SAHARAN AFRICA,Malawi,MWI
ESEA,EAST ASIA AND SOUTHEAST ASIA,Malaysia,MYS
SA,SOUTH ASIA,Maldives,MDV
SSA,SUB-SAHARAN AFRICA,Mali,MLI
WE,WESTERN EUROPE,Malta,MLT
OCE,OCEANIA,Marshall-Islands,MHL
LAC,LATIN AMERICA AND THE CARIBBEAN,Martinique,MTQ
SSA,SUB-SAHARAN AFRICA,Mauritania,MRT
SSA,SUB-SAHARAN AFRICA,Mauritius,MUS
SSA,SUB-SAHARAN AFRICA,Mayotte,MYT
LAC,LATIN AMERICA AND THE CARIBBEAN,Mexico,MEX
OCE,OCEANIA,Federated-States-of-Micronesia,FSM
EE,EASTERN EUROPE,Republic-of-Moldova,MDA
WE,WESTERN EUROPE,Monaco,MCO
ESEA,EAST ASIA AND SOUTHEAST ASIA,Mongolia,MNG
WE,WESTERN EUROPE,Montenegro,MNE
LAC,LATIN AMERICA AND THE CARIBBEAN,Montserrat,MSR
NENA,NEAR EAST AND NORTH AFRICA,Morocco,MAR
SSA,SUB-SAHARAN AFRICA,Mozambique,MOZ
ESEA,EAST ASIA AND SOUTHEAST ASIA,Myanmar,MMR
SSA,SUB-SAHARAN AFRICA,Namibia,NAM
OCE,OCEANIA,Nauru,NRU
SA,SOUTH ASIA,Nepal,NPL
WE,WESTERN EUROPE,Netherlands,NLD
LAC,LATIN AMERICA AND THE CARIBBEAN,Netherlands-Antilles,BES/CUW/SXM
OCE,OCEANIA,New-Caledonia,NCL
OCE,OCEANIA,New-Zealand,NZL
LAC,LATIN AMERICA AND THE CARIBBEAN,Nicaragua,NIC
SSA,SUB-SAHARAN AFRICA,Niger,NER
SSA,SUB-SAHARAN AFRICA,Nigeria,NGA
OCE,OCEANIA,Niue,NIU
OCE,OCEANIA,Norfolk-Island,NFK
OCE,OCEANIA,Northern-Mariana-Islands,MNP
WE,WESTERN EUROPE,Norway,NOR
NENA,NEAR EAST AND NORTH AFRICA,Oman,OMN
SA,SOUTH ASIA,Pakistan,PAK
OCE,OCEANIA,Palau,PLW
LAC,LATIN AMERICA AND THE CARIBBEAN,Panama,PAN
OCE,OCEANIA,Papua-New-Guinea,PNG
LAC,LATIN AMERICA AND THE CARIBBEAN,Paraguay,PRY
LAC,LATIN AMERICA AND THE CARIBBEAN,Peru,PER
ESEA,EAST ASIA AND SOUTHEAST ASIA,Philippines,PHL
OCE,OCEANIA,Pitcairn,PCN
EE,EASTERN EUROPE,Poland,POL
WE,WESTERN EUROPE,Portugal,PRT
LAC,LATIN AMERICA AND THE CARIBBEAN,Puerto-Rico,PRI
NENA,NEAR EAST AND NORTH AFRICA,Qatar,QAT
ESEA,EAST ASIA AND SOUTHEAST ASIA,Republic-of-Korea,KOR
WE,WESTERN EUROPE,Republic-of-Serbia,SRB
NENA,NEAR EAST AND NORTH AFRICA,Sudan,SDN
SSA,SUB-SAHARAN AFRICA,Reunion,REU
EE,EASTERN EUROPE,Romania,ROU
RUS,RUSSIAN FEDERATION,Russian-Federation,RUS
SSA,SUB-SAHARAN AFRICA,Rwanda,RWA
SSA,SUB-SAHARAN AFRICA,Saint-Helena,SHN
LAC,LATIN AMERICA AND THE CARIBBEAN,Saint-Kitts-and-Nevis,KNA
LAC,LATIN AMERICA AND THE CARIBBEAN,Saint-Lucia,LCA
OCE,OCEANIA,Saint-Pierre-et-Miquelon,SPM
LAC,LATIN AMERICA AND THE CARIBBEAN,Saint-Vincent-and-the-Grenadines,VCT
OCE,OCEANIA,Samoa,WSM
WE,WESTERN EUROPE,San-Marino,SMR
SSA,SUB-SAHARAN AFRICA,Sao-Tome-and-Principe,STP
NENA,NEAR EAST AND NORTH AFRICA,Saudi-Arabia,SAU
SSA,SUB-SAHARAN AFRICA,Senegal,SEN
SSA,SUB-SAHARAN AFRICA,Seychelles,SYC
SSA,SUB-SAHARAN AFRICA,Sierra-Leone,SLE
ESEA,EAST ASIA AND SOUTHEAST ASIA,Singapore,SGP
EE,EASTERN EUROPE,Slovakia,SVK
WE,WESTERN EUROPE,Slovenia,SVN
OCE,OCEANIA,Solomon-Islands,SLB
SSA,SUB-SAHARAN AFRICA,Somalia,SOM
SSA,SUB-SAHARAN AFRICA,South-Africa,ZAF
NENA,NEAR EAST AND NORTH AFRICA,South-Sudan,SSD
WE,WESTERN EUROPE,Spain,ESP
SA,SOUTH ASIA,Sri-Lanka,LKA
NENA,NEAR EAST AND NORTH AFRICA,Libya,LBY
LAC,LATIN AMERICA AND THE CARIBBEAN,Suriname,SUR
WE,WESTERN EUROPE,Svalbard-and-Jan-Mayan-Islands,SJM
SSA,SUB-SAHARAN AFRICA,Swaziland,SWZ
WE,WESTERN EUROPE,Sweden,SWE
WE,WESTERN EUROPE,Switzerland,CHE
NENA,NEAR EAST AND NORTH AFRICA,Syrian-Arab-Republic,SYR
NENA,NEAR EAST AND NORTH AFRICA,Tajikistan,TJK
ESEA,EAST ASIA AND SOUTHEAST ASIA,Thailand,THA
WE,WESTERN EUROPE,Republic-of-North-Macedonia,MKD
ESEA,EAST ASIA AND SOUTHEAST ASIA,Timor-Leste,TLS
SSA,SUB-SAHARAN AFRICA,Togo,TGO
OCE,OCEANIA,Tokelau,TKL
OCE,OCEANIA,Tonga,TON
LAC,LATIN AMERICA AND THE CARIBBEAN,Trinidad-and-Tobago,TTO
NENA,NEAR EAST AND NORTH AFRICA,Tunisia,TUN
NENA,NEAR EAST AND NORTH AFRICA,Turkey,TUR
NENA,NEAR EAST AND NORTH AFRICA,Turkmenistan,TKM
LAC,LATIN AMERICA AND THE CARIBBEAN,Turks-and-Caicos-Islands,TCA
OCE,OCEANIA,Tuvalu,TUV
SSA,SUB-SAHARAN AFRICA,Uganda,UGA
EE,EASTERN EUROPE,Ukraine,UKR
NENA,NEAR EAST AND NORTH AFRICA,United-Arab-Emirates,ARE
WE,WESTERN EUROPE,United-Kingdom,GBR
SSA,SUB-SAHARAN AFRICA,United-Republic-of-Tanzania,TZA
NA,NORTH AMERICA,United-States-of-America,USA
LAC,LATIN AMERICA AND THE CARIBBEAN,United-States-Virgin-Islands,VIR
LAC,LATIN AMERICA AND THE CARIBBEAN,Uruguay,URY
NENA,NEAR EAST AND NORTH AFRICA,Uzbekistan,UZB
OCE,OCEANIA,Vanuatu,VUT
LAC,LATIN AMERICA AND THE CARIBBEAN,Venezuela,VEN
ESEA,EAST ASIA AND SOUTHEAST ASIA,Viet-Nam,VNM
OCE,OCEANIA,Wake-Island,UMI
OCE,OCEANIA,Wallis-and-Futuna,WLF
NENA,NEAR EAST AND NORTH AFRICA,West-Bank,PSE
NENA,NEAR EAST AND NORTH AFRICA,Western-Sahara,ESH
NENA,NEAR EAST AND NORTH AFRICA,Yemen,YEM
SSA,SUB-SAHARAN AFRICA,Zambia,ZMB
SSA,SUB-SAHARAN AFRICA,Zimbabwe,ZWE
