#,GENuS_foodID,GENuS_FoodName,FCT_FoodName,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
44,32,Broad beans; horse beans; dry,Beans (peeled),347,25.4,1.6,58.9,,50,,54,2.5,3.32,,,,2.2,,0.2,0.2,,,,,,,,,,,11.3,,
45,33,Chick peas,Chickpeas [Peach beans],340,21.2,4.2,60.1,3.5,14,,150,3.4,1.5,,,,6,,0.41,0.251,,,,,,,,,,,11.3,,
46,34,Cow peas; dry,Meidou [rice cowpea] (dry),334,18.6,1.1,65.6,,,,60,5.5,4.7,,,,86.5,,0.15,0.18,,,,,,,,,,,12,,
47,34,Cow peas; dry,Cowpea (dry),336,19.3,1.2,65.6,,10,,40,7.1,3.04,,,,6.8,,0.16,0.08,,,,,,,,,,,10.9,,
48,36,Lentils,"Vetch [wild vetch, wild peas] (Fresh)",339,25.3,0.4,61.9,,5,,137,19.2,1.9,,,,2.3,,0.26,0.45,,,,,,,,,,,9.9,,
49,36,Lentils,Cashews,283,19,1.3,55.6,,,,68,4,1.93,,,,1,,0.33,0.11,,,,,,,,,,,19.4,,
50,38,Vetches,Chestnut (fresh) [chestnut],63,3.8,0.5,13.6,,,,270,,,,,,,,,,,,,,,,,,,,80,,
51,43,Cashew nuts; with shell,Almonds,559,17.3,36.7,41.6,,8,,26,4.8,4.3,,,,251.3,,0.27,0.13,,,,,,,,,,,2.4,,
52,44,Chestnuts,Almond (large),188,4.2,0.7,42.2,24,32,,17,1.1,0.57,,,,13.9,,0.14,0.17,,,,,,,,,,,52,,
53,45,Almonds; with shell,Walnut (fresh),578,22.5,45.4,23.9,26,,,97,2.2,4.3,,,,8.3,,0.08,0.56,,,,,,,,,,,5.6,,
54,45,Almonds; with shell,Walnut (dry) [walnut],540,19.9,42.9,27.8,26,,,49,1.2,4.06,,,,,,0.02,1.82,,,,,,,,,,,6.2,,
55,46,Walnuts; with shell,Pistachios (cooked),336,12.8,29.9,6.1,10,,,,,,,,,,,0.07,0.14,,,,,,,,,,,49.8,,
56,46,Walnuts; with shell,Hazelnut (dry),646,14.9,58.8,19.1,1,5,,56,2.7,2.17,,,,6.4,,0.15,0.14,,,,,,,,,,,5.2,,
57,47,Pistachios,Pine nuts,631,20.6,53,21.9,,,,108,4.4,3.11,,8.2,,756.4,,0.45,0.1,,,,,,,,,,,0.8,,
58,49,Hazelnuts; with shell,"Acorns [acorns, beech sub]",561,20,44.8,24.3,,8,,104,6.4,5.83,,,,4.7,,0.62,0.14,,,,,,,,,,,7.4,,
59,51,Nuts; nes,Ginkgo (dry) [ginkgo],718,13.4,70.6,12.2,,2,,78,4.3,4.61,,,,10.1,,0.19,0.25,,,,,,,,,,,0.8,,
60,51,Nuts; nes,Hickory (dry),233,4,2,50.5,7,,,112,5.8,,,,,,,0.03,,,,,,,,,,,,42.3,,
61,51,Nuts; nes,Soybeans [soybean],355,13.2,1.3,72.6,,,,54,0.2,0.69,,,,17.5,,,0.1,,,,,,,,,,,9.9,,
62,51,Nuts; nes,Black beans [black beans] (dry),616,18,50.4,26.2,,5,,57,6.8,6.42,,,,250.7,,0.16,0.09,,,,,,,,,,,2.2,,
63,53,Soyabeans,Peas [Green soybeans] (dry),390,35,16,34.2,,37,,191,8.2,3.34,,,,2.2,,0.41,0.2,,,,,,,,,,,10.2,,
64,53,Soyabeans,"Peanuts (fresh) [groundnuts, peanuts]",401,36,15.9,33.6,,5,,224,7,4.18,,,,3,,0.2,0.33,,,,,,,,,,,9.9,,
65,53,Soyabeans,Peanuts (raw),398,34.5,16,35.4,,132,,200,8.4,3.18,,,,1.8,,0.41,0.18,,,,,,,,,,,9.5,,
66,54,Groundnuts (Shelled Eq),Sunflower seeds,313,12,25.4,13,14,2,,8,3.4,1.79,,,,3.7,,,0.04,,,,,,,,,,,48.3,,
67,54,Groundnuts (Shelled Eq),Coconut,574,24.8,44.3,21.7,2,5,,39,2.1,2.5,,,,3.6,,0.72,0.13,,,,,,,,,,,6.9,,
68,55,Sunflowerseed,Sesame seeds (white),615,19.1,53.4,16.7,,,,115,2.9,0.5,,,,5,,1.89,0.16,,,,,,,,,,,7.8,,
69,58,Coconuts - Incl Copra,Sesame seeds (black),241,4,12.1,31.3,6,,,2,1.8,0.92,,,,55.6,,0.01,0.01,,,,,,,,,,,51.8,,
70,59,Sesameseed,West melon seeds,536,18.4,39.6,31.5,,,,620,14.1,4.21,,,,32.2,,0.36,0.26,,,,,,,,,,,5.3,,
71,59,Sesameseed,Linseed,559,19.1,46.1,24,,,,780,22.7,6.13,,,,8.3,,0.66,0.25,,,,,,,,,,,5.7,,
72,62,Oilcrops; Other,Bean oil,566,32.4,45.9,8.6,,,,,4.7,0.39,,,,9.4,,0.2,0.08,,,,,,,,,,,9.2,,
73,62,Oilcrops; Other,Soybean salad oil,450,19.1,30.7,39.5,,,,228,19.7,4.84,,,,48.8,,0.29,0.28,,,,,,,,,,,6.9,,
74,63,Soyabean Oil,Peanut oil,899,,99.9,0,,,,13,2,1.09,,,,4.9,,,,,,,,,,,,,,0.1,,
75,63,Soyabean Oil,Sunflower oil,900,0,99.9,0.1,0,,,1,0.3,1.81,,0,,9.1,,,,,,,,,,,,,,0,,
76,64,Groundnut Oil,Oil (rapeseed oil) [Green Oil],899,,99.9,0,,,,12,2.9,0.48,,,,3.5,,,,,,,,,,,,,,0.1,,
77,65,Sunflowerseed Oil,Oil (cottonseed oil),899,,99.9,0,,,,2,1,0.11,,,,2.8,,,,,,,,,,,,,,0.1,,
78,66,Rape and Mustard Oil,Oil (palm oil),899,,99.9,0,,,,9,3.7,0.54,,,,7,,,,,,,,,,,,,,0.1,,
79,67,Cottonseed Oil,Oils (coconut oil),899,,99.8,0.1,,,,17,2,0.74,,,,4.5,,,,,,,,,,,,,,0.1,,
80,69,Palm Oil,Sesame oil [sesame],900,,100,0,,18,,,3.1,0.08,,,,1.3,,,,,,,,,,,,,,,,
81,70,Coconut Oil,Oil (olive oil),899,,99.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
82,71,Sesameseed Oil,Rice bran oil,898,,99.7,0.2,,,,9,2.2,0.17,,,,1.1,,,,,,,,,,,,,,0.1,,
83,72,Olive Oil,Corn Oil [corn germ oil],899,,99.9,0,0,0,,,0.4,,,,,,,,,,,,,,,,,,,,,
84,73,Ricebran Oil,Oil (safflower oil),894,0,98.7,1.3,0,,,2,0.4,0.57,,0,,1.8,,,,,,,,,,,,,,,,
85,74,Maize Germ Oil,Oil (sesame oil),900,0,100,0,0,,,0,0.3,0.22,,0,,4.1,,,,,,,,,,,,,,0,,
86,75,Oilcrops Oil; Other,Oil (tea),899,,99.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
87,75,Oilcrops Oil; Other,Oil (wheat germ oil),900,,100,0,,,,3,0.2,0.3,,,,0.6,,,,,,,,,,,,,,,,
88,75,Oilcrops Oil; Other,Walnut oil,899,,99.9,0,,,,5,1.1,0.34,,,,0.7,,,,,,,,,,,,,,0.1,,
89,75,Oilcrops Oil; Other,Camellia seed oil,899,,99.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
90,75,Oilcrops Oil; Other,Tomato [tomato],895,0,99.1,0.8,0,,,2,0.6,0.03,,0,,1.8,,,0.01,,,,,,,,,,,0.1,,
91,75,Oilcrops Oil; Other,Cherry tomatoes [tomatoes],898,0,99.8,0,0,,,,,0.07,,0,,1.4,,,,,,,,,,,,,,0.2,,
92,76,Tomatoes,Milk persimmon [tomato],20,0.9,0.2,4,19,92,,10,0.4,0.13,,,,5,,0.03,0.03,,,,,,,,,,,94.4,,
93,76,Tomatoes,Onion [onion] (Fresh),25,1,0.2,5.8,33,55,,6,0.3,0.2,,1.8,,5,,0.03,0.02,,,,,,,,,,,92.5,,
94,76,Tomatoes,Cabbage (mean),14,0.6,0.1,3.2,8,88,,15,0.4,0.14,,,,8.3,,0.05,0.02,,,,,,,,,,,95.6,,
95,77,Onions,"Cabbage sprouts [vegetable sprouts, cabbage]",40,1.1,0.2,9,8,3,,24,0.6,0.23,,,,4.4,,0.03,0.03,,,,,,,,,,,89.2,,
96,78,Cabbages and other brassicas,Milk Cabbage,18,1.5,0.1,3.2,31,20,,50,0.7,0.38,,,,57.5,,0.04,0.05,,,,,,,,,,,94.6,,
97,78,Cabbages and other brassicas,Feathers vegetables,28,2.8,0.5,4,44,160,,96,2.8,0.87,,,,26,,0.05,0.08,,,,,,,,,,,91.3,,
98,78,Cabbages and other brassicas,"Cabbage [cabbage, cabbage]",21,2.7,0.2,3.3,37.4,190,,66,1,0.28,,2.3,,170.2,,0.02,0.1,,,,,,,,,,,92.6,,
99,78,Cabbages and other brassicas,"Kale [cabbage, cover blue dish]",19,2.7,0.2,2.6,24,138,,78,2.1,0.31,,2.1,,62.7,,0.04,0.09,,,,,,,,,,,93.5,,
100,78,Cabbages and other brassicas,Cabbage (purple),24,1.5,0.2,4.6,40,12,,49,0.6,0.25,,,,27.2,,0.03,0.03,,,,,,,,,,,93.2,,
101,78,Cabbages and other brassicas,Brussels sprouts,22,2.8,0.4,2.6,76,575,,128,2,1.3,,,,50.5,,0.02,0.09,,,,,,,,,,,93.2,,
102,78,Cabbages and other brassicas,Kale,25,1.2,0.2,6.2,26,,,65,0.4,0.16,,3,,27,,0.04,0.03,,,,,,,,,,,91.8,,
103,78,Cabbages and other brassicas,Cole,36,3.5,,8.8,38,5,,59,0.6,0.35,,6.6,,35.5,,0.06,0.05,,,,,,,,,,,86.7,,
104,78,Cabbages and other brassicas,Rapeseed sprouts [Brassica campestris],69,5,0.4,5.7,63,728,,66,1.6,0.56,,,,66.8,,0.07,0.18,,,,,,,,,,,87.2,,
105,78,Cabbages and other brassicas,"Mustard [potherb mustard, pickled vegetables] (Fresh)",25,1.8,0.5,3.8,36,103,,108,1.2,0.33,,,,55.8,,0.04,0.11,,,,,,,,,,,92.9,,
106,78,Cabbages and other brassicas,"Mustard (large leaves, fresh) [Cover dish]",24,3.2,0.4,3,65,90,,156,2.8,0.72,,,,83.2,,0.08,0.07,,,,,,,,,,,92.4,,
107,78,Cabbages and other brassicas,Leaf mustard,27,2,0.4,4.7,31,52,,230,3.2,0.7,,,,30.5,,0.03,0.11,,,,,,,,,,,91.5,,
108,78,Cabbages and other brassicas,"Mustard head [kohlrabi, mustard water]",16,1.8,0.4,2,72,283,,28,1,0.41,,,,29,,0.02,0.11,,,,,,,,,,,94.6,,
109,78,Cabbages and other brassicas,"Kohlrabi [jade turnip, kohlrabi]",13,1.5,,2.8,14,81,,76,0.5,0.47,,2,,73.5,,0.02,0.07,,,,,,,,,,,94.8,,
110,78,Cabbages and other brassicas,Brussels sprouts (fresh),36,1.9,0.2,7.4,34,,,65,0.8,0.39,,,,65.6,,0.06,0.02,,,,,,,,,,,89.6,,
111,78,Cabbages and other brassicas,Artichokes (fresh),32,1.3,0.2,7,41,3,,25,0.3,0.17,,,,29.8,,0.04,0.02,,,,,,,,,,,90.8,,
112,78,Cabbages and other brassicas,"Asparagus [Asparagus, asparagus]",24,1.8,0.5,3.4,57,68,,131,5.8,0.12,,,,28,,,0.68,,,,,,,,,,,93.2,,
113,79,Artichokes,Cabbage chicory,54,2.7,0.2,10.9,11,13,,255,1.6,0.44,,,,164.5,,0.08,0.06,,,,,,,,,,,85.4,,
114,80,Asparagus,Softening parthenolide lettuce,22,1.4,0.1,4.9,45,17,,10,1.4,0.41,,,,3.1,,0.04,0.05,,,,,,,,,,,93,,
115,81,Lettuce and chicory,Lettuce (bovine Li) [lettuce],17,1.8,0.2,3.4,2,17,,78,0.8,0.39,,2.7,,24.9,,0.04,0.04,,,,,,,,,,,93.8,,
116,81,Lettuce and chicory,Lettuce (leaf lettuce),17,1.5,0.2,3.1,1,2,,11,0.2,0.24,,1.7,,33.6,,0.04,0.02,,,,,,,,,,,94.7,,
117,81,Lettuce and chicory,Lettuce [lettuce] (Fresh),16,1.4,0.4,2.1,20,60,,70,1.2,0.43,,,,80,,,0.1,,,,,,,,,,,95.7,,
118,81,Lettuce and chicory,Lettuce leaves [lettuce leaf],14,1.3,0.3,2,13,298,,34,0.9,0.27,,,,32.8,,0.03,0.06,,,,,,,,,,,95.8,,
119,81,Lettuce and chicory,Chicory,15,1,0.1,2.8,4,25,,23,0.9,0.33,,,,36.5,,0.02,0.02,,,,,,,,,,,95.5,,
120,81,Lettuce and chicory,Bitter vegetables (fresh),20,1.4,0.2,3.6,13,147,,34,1.5,0.51,,,,39.1,,0.06,0.1,,,,,,,,,,,94.2,,
121,81,Lettuce and chicory,Spinach [red root vegetables] (Fresh),19,1.3,0.2,3.4,7,205,,52,0.8,0.79,,,,22,,0.08,0.08,,,,,,,,,,,93.8,,
122,81,Lettuce and chicory,"Ipomoea [spinach, rattan vine vegetables]",42,2.5,0.9,6.8,62,357,,,,,,,,,,,,,,,,,,,,,,88.2,,
123,82,Spinach,"Tetragonia [New Zealand spinach, summer spinach]",28,2.6,0.3,4.5,32,487,,66,2.9,0.85,,,,85.2,,0.04,0.11,,,,,,,,,,,91.2,,
124,82,Spinach,Cauliflower [Broccoli],23,2.2,0.3,3.6,25,253,,99,2.3,0.39,,,,94.3,,0.03,0.08,,,,,,,,,,,92.9,,
125,82,Spinach,Broccoli [broccoli],15,1.8,,3.1,,105,,136,0.8,0.36,,2.6,,445.2,,0.03,0.09,,,,,,,,,,,94,,
126,84,Cauliflowers and broccoli,Gourd child,26,2.1,0.2,4.6,61,5,,23,1.1,0.38,,,,31.6,,0.03,0.08,,,,,,,,,,,92.4,,
127,84,Cauliflowers and broccoli,"Chayote [stick melon, pear dishes]",36,4.1,0.6,4.3,51,1202,,67,1,0.78,,,,18.8,,0.09,0.13,,,,,,,,,,,90.3,,
128,85,Pumpkins; squash; and gourds,"Gourd [long melon, gourd, gourd]",29,0.7,0.1,6.8,29,163,,49,,0.56,,,,1.2,,0.01,0.06,,,,,,,,,,,92.2,,
129,85,Pumpkins; squash; and gourds,Zucchini [hair melon],18,1.2,0.1,3.8,8,3,,17,0.1,0.08,,,,1,,0.01,0.1,,,,,,,,,,,94.3,,
130,85,Pumpkins; squash; and gourds,Pumpkin,16,0.7,0.1,3.5,11,7,,16,0.4,0.14,,,,0.6,,0.02,0.01,,,,,,,,,,,95.3,,
131,85,Pumpkins; squash; and gourds,"Bitter [Lianggua, scabies melon] (Fresh)",14,0.6,0.1,3.4,39,,,4,0.1,0.08,,,,0.2,,0.02,0.05,,,,,,,,,,,95.6,,
132,85,Pumpkins; squash; and gourds,"Pumpkin [pumpkin, pumpkin] (Fresh)",15,0.5,0.1,3.4,2,10,,17,0.9,0.17,,,,0.9,,0.02,0.02,,,,,,,,,,,95.6,,
133,85,Pumpkins; squash; and gourds,"Shegua [snake beans, large beans]",22,1,0.1,4.9,56,17,,14,0.7,0.36,,,,2.5,,0.03,0.03,,,,,,,,,,,93.4,,
134,85,Pumpkins; squash; and gourds,"Sponge gourd, loofah",23,0.7,0.1,5.3,8,148,,16,0.4,0.14,,,,0.8,,0.03,0.04,,,,,,,,,,,93.5,,
135,85,Pumpkins; squash; and gourds,Cucurbita maxima [raw melon],18,1.5,0.1,3.9,4,3,,191,1.2,0.42,,,,2.2,,0.1,0.03,,,,,,,,,,,94.1,,
136,85,Pumpkins; squash; and gourds,Squash,21,1,0.2,4.2,5,15,,14,0.4,0.21,,,,2.6,,0.02,0.04,,,,,,,,,,,94.3,,
137,85,Pumpkins; squash; and gourds,Cucurbita,13,0.5,,3.1,5,17,,14,0.6,0.09,,,,,,0.04,0.02,,,,,,,,,,,96.1,,
138,85,Pumpkins; squash; and gourds,Yellow melon stems,19,0.8,0.2,3.8,6,5,,15,0.3,0.12,,,,5,,0.01,0.03,,,,,,,,,,,94.9,,
139,85,Pumpkins; squash; and gourds,Pumpkin (chestnut face),18,1,0.1,4.4,3,8,,32,0.4,0.2,,2.5,,4.3,,0.02,0.02,,,,,,,,,,,94.1,,
140,85,Pumpkins; squash; and gourds,Cucumber [cucumber] (Fresh),19,1.2,0.9,2,,113,,,,0.29,,,,,,0.03,0.02,,,,,,,,,,,95.4,,
141,85,Pumpkins; squash; and gourds,Autumn cucumber [dry cucumber],36,1.4,0.1,8.8,5,253,,16,0.4,0.22,,2.7,,11,,0.03,0.04,,,,,,,,,,,88.8,,
142,86,Cucumbers and gherkins,Eggplant (mean),16,0.8,0.2,2.9,9,15,,24,0.5,0.18,,,,4.9,,0.02,0.03,,,,,,,,,,,95.8,,
143,86,Cucumbers and gherkins,"Eggplant, round",14,0.9,0.2,2.5,,7,,9,0.2,0.17,,0.9,,2.2,,0.02,0.01,,,,,,,,,,,96,,
144,87,Eggplants (aubergines),"Eggplant (Purple, Long)",23,1.1,0.2,4.9,5,8,,24,0.5,0.23,,,,5.4,,0.02,0.04,,,,,,,,,,,93.4,,
145,87,Eggplants (aubergines),"Hot pepper, red, small",32,1.6,0.2,6.7,1,,,5,1.8,0.29,,,,3.2,,0.03,0.03,,,,,,,,,,,91.2,,
146,87,Eggplants (aubergines),"Peppers (green, tip)",23,1,0.1,5.4,7,30,,55,0.4,0.16,,,,6.4,,0.03,0.03,,,,,,,,,,,93.1,,
147,88,Chillies and peppers; green,"Peppers [bell pepper, bell pepper]",38,1.3,0.4,8.9,144,232,,37,1.4,0.3,,,,2.6,,0.03,0.06,,,,,,,,,,,88.8,,
148,88,Chillies and peppers; green,"Peppers [bell pepper, bell pepper]",27,1.4,0.3,5.8,62,57,,15,0.7,0.22,,,,2.2,,0.03,0.04,,,,,,,,,,,91.9,,
149,88,Chillies and peppers; green,Pepper,25,1,0.2,5.4,72,57,,14,0.8,0.19,,,,3.3,,0.03,0.03,,,,,,,,,,,93,,
150,88,Chillies and peppers; green,Green onions,18,1,0.2,3.8,130,13,,,,,,1.3,,,,0.02,0.02,,,,,,,,,,,94.6,,
151,88,Chillies and peppers; green,"Onions (shallots, fresh)",26,1.3,0.2,6.4,104,132,,9,0.5,0.18,,3.3,,6.8,,0.05,0.05,,,,,,,,,,,91.5,,
152,89,Onions (inc. shallots); green,Onion [onion] (Fresh),33,1.7,0.3,6.5,17,10,,29,0.7,0.4,,,,4.8,,0.03,0.05,,,,,,,,,,,91,,
153,89,Onions (inc. shallots); green,Garlic [garlic] (Fresh),27,1.6,0.4,4.9,21,140,,72,1.3,0.35,,,,10.4,,0.05,0.06,,,,,,,,,,,92.7,,
154,89,Onions (inc. shallots); green,"Chives [scallions, onions seasons]",40,1.1,0.2,9,8,3,,24,0.6,0.23,,,,4.4,,0.03,0.03,,,,,,,,,,,89.2,,
155,90,Garlic,Chives,128,4.5,0.2,27.6,7,5,,39,1.2,0.88,,,,19.6,,0.04,0.06,,,,,,,,,,,66.6,,
156,91,Leeks; other alliaceous veg.,Chive [Allium bud],39,2.5,0.3,7.2,14,77,,54,2.2,,,,,,,0.04,,,,,,,,,,,,90,,
157,91,Leeks; other alliaceous veg.,Leek moss,29,2.4,0.4,4.6,24,235,,42,1.6,0.43,,,,8.1,,0.02,0.09,,,,,,,,,,,91.8,,
158,91,Leeks; other alliaceous veg.,Scallion [Jiao head] (Fresh),24,2.3,0.2,3.9,15,43,,25,1.7,0.33,,,,6.9,,0.03,0.05,,,,,,,,,,,93.2,,
159,91,Leeks; other alliaceous veg.,"Xiebai [small root garlic, mountain garlic, garlic group] (Fresh)",37,2.2,0.1,7.8,1,80,,11,4.2,1.34,,,,1,,0.04,0.07,,,,,,,,,,,89.4,,
160,91,Leeks; other alliaceous veg.,Beans (fresh),,,,,27,560,,160,3.6,0.58,,,,0,,,,,,,,,,,,,,81.4,,
161,91,Leeks; other alliaceous veg.,Beans,124,3.4,0.4,27.1,36,15,,100,4.6,,,,,,,0.08,0.14,,,,,,,,,,,68,,
162,92,Beans; green,"Beans (fresh, white)",40,3.1,0.3,7,15,37,,49,4.6,0.84,,,,8.5,,0.05,0.07,,,,,,,,,,,89,,
163,92,Beans; green,Long beans (fresh),34,2.5,0.2,6.7,18,33,,29,1.5,0.54,,,,3.4,,0.05,0.07,,,,,,,,,,,90,,
