crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
32,acof,xcof,arabica coffee,coffee,656,stimulant,Coffee green,nonfood
33,rcof,xcof,robusta coffee,coffee,656,stimulant,Coffee green,nonfood
34,coco,coco,cocoa,cocoa,661,stimulant,Cocoa beans,nonfood
34,coco,coco,cocoa,cocoa,662,stimulant,"Cocoa, paste",nonfood
34,coco,coco,cocoa,cocoa,665,stimulant,"Cocoa , powder & cacke",nonfood
34,coco,coco,cocoa,cocoa,666,stimulant,Chocolate products nes,nonfood
35,teas,teas,tea,tea,667,stimulant,Tea,nonfood
36,toba,toba,tobacco,tobacco leaves,826,stimulant,Tobacco leaves,nonfood
37,bana,bana,banana,banana,486,fruits,Bananas,
38,plnt,plnt,plantain,plantain,489,fruits,Plantains,
40,temf,xfru,fruit,fruit,,fruits,"Fruits, excluding wine",
40,temf,xfru,temperate fruit,apples ++,592,fruits,Kiwi fruit,
40,temf,xfru,temperate fruit,apples ++,619,fruits,"Fruit, fresh nes",
40,temf,xfru,temperate fruit,apples ++,620,fruits,"Fruit, dried nes",
40,temf,xfru,temperate fruit,apples ++,622,fruits,"Juice, fruit nes",
40,temf,xfru,temperate fruit,apples ++,623,fruits,"Fruit, prepared nes",
40,temf,xfru,temperate fruit,apples ++,624,fruits,"Flour, fruit",
40,temf,xfru,temperate fruit,apples ++,625,fruits,"Fruits, nuts, peel, sugar preserved",
40,temf,xfru,temperate fruit,apples ++,626,fruits,"Fruit, cooked, homogenized preparations",
27,ooil,xoil,other oil crops,olives ++,260,oilcrops,Olives,
27,ooil,xoil,other oil crops,olives ++,261,oilcrops,"Oil of Olives, Virgin",
27,ooil,xoil,other oil crops,olives ++,262,oilcrops,"Olives, Preserved",
27,ooil,xoil,other oil crops,olives ++,263,oilcrops,Karite Nuts (Sheanuts),
27,ooil,xoil,other oil crops,olives ++,264,oilcrops,Butter of Karite Nuts,
27,ooil,xoil,other oil crops,olives ++,265,oilcrops,Castor Beans,
27,ooil,xoil,other oil crops,olives ++,266,oilcrops,Oil of Castor Beans,
27,ooil,xoil,other oil crops,olives ++,268,oilcrops,Oil of Sunflower Seed,
27,ooil,xoil,other oil crops,olives ++,269,oilcrops,Cake of Sunflower Seed,
27,ooil,xoil,other oil crops,olives ++,271,oilcrops,Oil of Rapeseed or Canola oil,
27,ooil,xoil,other oil crops,olives ++,272,oilcrops,Cake of Rapeseed,
27,ooil,xoil,other oil crops,olives ++,273,oilcrops,Olive Residues,
27,ooil,xoil,other oil crops,olives ++,274,oilcrops,Oil of Olive Residues,
27,ooil,xoil,other oil crops,olives ++,275,oilcrops,Tung Nuts,
27,ooil,xoil,other oil crops,olives ++,276,oilcrops,Oil of Tung Nuts,
27,ooil,xoil,other oil crops,olives ++,277,oilcrops,Jojoba Seeds,
27,ooil,xoil,other oil crops,olives ++,278,oilcrops,Jojoba Oil,
27,ooil,xoil,other oil crops,olives ++,279,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,280,oilcrops,Safflower seed,
27,ooil,xoil,other oil crops,olives ++,281,oilcrops,Oil of Safflower Seed,
27,ooil,xoil,other oil crops,olives ++,282,oilcrops,Cake of Safflower Seed,
27,ooil,xoil,other oil crops,olives ++,283,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,284,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,285,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,286,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,287,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,288,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,290,oilcrops,Oil of Sesame Seed,
27,ooil,xoil,other oil crops,olives ++,291,oilcrops,Cake of Sesame Seed,
27,ooil,xoil,other oil crops,olives ++,293,oilcrops,Oil of Mustard Seed,
27,ooil,xoil,other oil crops,olives ++,294,oilcrops,Cake of Mustard Seed,
27,ooil,xoil,other oil crops,olives ++,296,oilcrops,Poppy seed,
27,ooil,xoil,other oil crops,olives ++,297,oilcrops,Oil of Poppy Seed,
27,ooil,xoil,other oil crops,olives ++,298,oilcrops,Cake of Poppy Seed,
27,ooil,xoil,other oil crops,olives ++,299,oilcrops,Melonseed,
27,ooil,xoil,other oil crops,olives ++,300,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,301,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,302,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,303,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,304,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,305,oilcrops,Tallowtree Seeds,
27,ooil,xoil,other oil crops,olives ++,306,oilcrops,Vegetable tallow,
27,ooil,xoil,other oil crops,olives ++,307,oilcrops,Stillingia oil,
27,ooil,xoil,other oil crops,olives ++,308,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,309,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,310,oilcrops,Kapok fruit,
27,ooil,xoil,other oil crops,olives ++,311,oilcrops,"Kapokseed,in shell",
27,ooil,xoil,other oil crops,olives ++,312,oilcrops,"Kapokseed, shelled",
27,ooil,xoil,other oil crops,olives ++,313,oilcrops,Oil of Kapok,
27,ooil,xoil,other oil crops,olives ++,314,oilcrops,Cake of Kapok,
27,ooil,xoil,other oil crops,olives ++,315,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,316,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,317,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,318,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,319,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,320,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,321,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,322,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,323,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,324,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,325,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,326,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,327,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,329,oilcrops,Cottonseed,
27,ooil,xoil,other oil crops,olives ++,330,oilcrops,NA,
27,ooil,xoil,other oil crops,olives ++,331,oilcrops,Oil of Cottonseed,
27,ooil,xoil,other oil crops,olives ++,332,oilcrops,Cake of Cottonseed,
27,ooil,xoil,other oil crops,olives ++,333,oilcrops,Linseed,
27,ooil,xoil,other oil crops,olives ++,334,oilcrops,Oil of Linseed,
27,ooil,xoil,other oil crops,olives ++,335,oilcrops,Cake of Linseed,
27,ooil,xoil,other oil crops,olives ++,336,oilcrops,Hempseed,
27,ooil,xoil,other oil crops,olives ++,337,oilcrops,Oil of Hempseed,
27,ooil,xoil,other oil crops,olives ++,338,oilcrops,Cake of Hempseed,
27,ooil,xoil,other oil crops,olives ++,339,oilcrops,Oilseeds nes,
27,ooil,xoil,other oil crops,olives ++,340,oilcrops,"Oil, vegetable origin nes",
27,ooil,xoil,other oil crops,olives ++,343,oilcrops,"Flour, oilseeds",
27,ooil,xoil,other oil crops,olives ++,1241,oilcrops,"Margarine, liquid",
27,ooil,xoil,other oil crops,olives ++,1242,oilcrops,"Margarine, short",
27,ooil,xoil,other oil crops,olives ++,1273,oilcrops,"Castor oil, hydrogenated (opal wax)",
27,ooil,xoil,other oil crops,olives ++,1274,oilcrops,"Oil, boiled, etc",
27,ooil,xoil,other oil crops,olives ++,1275,oilcrops,"Oil, hydrogenated",
27,ooil,xoil,other oil crops,olives ++,,oilcrops,Vegetable oils,
27,ooil,xoil,other oil crops,olives ++,,oilcrops,Oilcrops,
31,ofib,ofib,other fibre crops,other fibres ++,773,fibres,Flax fibre and tow,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,774,fibres,Flax tow and waste,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,775,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,776,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,777,fibres,Hemp fibre and tow,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,778,fibres,Kapok fibre,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,779,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,780,fibres,Jute,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,781,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,782,fibres,Jute-like fibres,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,783,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,784,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,785,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,786,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,787,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,788,fibres,Ramie,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,789,fibres,Sisal,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,790,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,791,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,792,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,793,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,794,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,795,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,796,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,797,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,798,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,799,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,800,fibres,Agave fibres nes,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,801,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,802,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,803,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,804,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,805,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,806,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,807,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,808,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,809,fibres,Abaca manila hemp,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,810,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,811,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,812,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,813,fibres,Coir,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,814,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,815,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,816,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,817,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,818,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,819,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,820,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,821,fibres,Fibre crops nes,nonfood
39,trof,xfru,tropical fruit,oranges ++,490,fruits,Oranges,
39,trof,xfru,tropical fruit,oranges ++,491,fruits,Juice of Orange,
39,trof,xfru,tropical fruit,oranges ++,492,fruits,"Orange Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,493,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,494,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,495,fruits,"Tangerines, mandarins, clementines, satsumas",
39,trof,xfru,tropical fruit,oranges ++,496,fruits,"Juice of Tangerine, Mandarin and Clementin",
39,trof,xfru,tropical fruit,oranges ++,497,fruits,Lemons and limes,
39,trof,xfru,tropical fruit,oranges ++,498,fruits,Juice of Lemon,
39,trof,xfru,tropical fruit,oranges ++,499,fruits,"Lemon Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,500,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,501,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,502,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,503,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,504,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,505,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,506,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,507,fruits,Grapefruit and pomelo,
39,trof,xfru,tropical fruit,oranges ++,508,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,509,fruits,Juice of Grapefruit,
39,trof,xfru,tropical fruit,oranges ++,510,fruits,"Grapefruit Juice, Concentrated",
39,trof,xfru,tropical fruit,oranges ++,511,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,512,fruits,Citrus fruit nes,
39,trof,xfru,tropical fruit,oranges ++,513,fruits,"Juice, citrus, single strength",
39,trof,xfru,tropical fruit,oranges ++,514,fruits,"Juice, citrus, concentrated",
39,trof,xfru,tropical fruit,oranges ++,567,fruits,Watermelons,
39,trof,xfru,tropical fruit,oranges ++,568,fruits,"Melons, Cantaloupes",
39,trof,xfru,tropical fruit,oranges ++,569,fruits,Figs,
39,trof,xfru,tropical fruit,oranges ++,570,fruits,"Figs, Dried",
39,trof,xfru,tropical fruit,oranges ++,571,fruits,Mangoes,
39,trof,xfru,tropical fruit,oranges ++,572,fruits,Avocados,
39,trof,xfru,tropical fruit,oranges ++,573,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,574,fruits,Pineapples,
39,trof,xfru,tropical fruit,oranges ++,575,fruits,"Pineapples, Canned",
39,trof,xfru,tropical fruit,oranges ++,576,fruits,Juice of Pineapples,
39,trof,xfru,tropical fruit,oranges ++,580,fruits,"Juice, pineappe, concentrated",
39,trof,xfru,tropical fruit,oranges ++,577,fruits,Dates,
39,trof,xfru,tropical fruit,oranges ++,578,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,579,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,581,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,582,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,583,fruits,Juice of Mango,
39,trof,xfru,tropical fruit,oranges ++,584,fruits,Mango Pulp,
39,trof,xfru,tropical fruit,oranges ++,585,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,586,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,587,fruits,Persimmons,
39,trof,xfru,tropical fruit,oranges ++,588,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,589,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,590,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,591,fruits,Cashewapple,
39,trof,xfru,tropical fruit,oranges ++,600,fruits,Papayas,
39,trof,xfru,tropical fruit,oranges ++,601,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,602,fruits,NA,
39,trof,xfru,tropical fruit,oranges ++,603,fruits,"Fruit, tropical (fresh) nes",
39,trof,xfru,tropical fruit,oranges ++,604,fruits,"Fruit, tropical dried nes",
40,temf,xfru,temperate fruit,apples ++,515,fruits,Apples,
40,temf,xfru,temperate fruit,apples ++,516,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,517,fruits,"Cider, etc.",
40,temf,xfru,temperate fruit,apples ++,518,fruits,Apple Juice,
40,temf,xfru,temperate fruit,apples ++,519,fruits,"Apple Juice, Concentrated",
40,temf,xfru,temperate fruit,apples ++,520,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,521,fruits,Pears,
40,temf,xfru,temperate fruit,apples ++,522,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,523,fruits,Quinces,
40,temf,xfru,temperate fruit,apples ++,524,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,525,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,526,fruits,Apricots,
40,temf,xfru,temperate fruit,apples ++,527,fruits,"Apricots, Dried",
40,temf,xfru,temperate fruit,apples ++,528,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,529,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,530,fruits,Sour cherries,
40,temf,xfru,temperate fruit,apples ++,531,fruits,Cherries,
40,temf,xfru,temperate fruit,apples ++,532,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,533,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,534,fruits,Peaches and nectarines,
40,temf,xfru,temperate fruit,apples ++,535,fruits,NA,
40,temf,xfru,temperate fruit,apples ++,536,fruits,Plums,
40,temf,xfru,temperate fruit,apples ++,537,fruits,"Plums, dried",
40,temf,xfru,temperate fruit,apples ++,538,fruits,Juice of plum,
40,temf,xfru,temperate fruit,apples ++,539,fruits,"Juice of plum, concentrated",
40,temf,xfru,temperate fruit,apples ++,540,fruits,NA,
